Date,Open,High,Low,Close,Volume
07/25/2017,165.01,165.54,163.86,165.28,15383241
07/26/2017,166.01,166.01,164.10,165.61,35236867
07/27/2017,174.70,175.49,167.50,170.44,68910708
07/28/2017,169.07,173.43,169.05,172.45,24557553
07/31/2017,172.00,172.72,168.55,169.25,25478945
08/01/2017,169.82,170.47,169.05,169.86,14384957
08/02/2017,170.30,170.55,166.91,169.30,17433774
08/03/2017,169.30,169.70,168.25,168.59,10793841
08/04/2017,168.97,170.06,168.69,169.62,10777727
08/07/2017,169.95,172.06,169.66,171.98,12787844
08/08/2017,171.88,173.05,170.62,171.23,14393524
08/09/2017,169.98,171.45,169.56,171.18,10814984
08/10/2017,170.06,170.59,166.85,167.40,20832746
08/11/2017,167.95,168.82,166.85,168.08,13791153
08/14/2017,170.09,171.08,169.29,170.75,12954231
08/15/2017,171.49,171.50,170.01,171.00,8729172
08/16/2017,171.25,171.38,169.24,170.00,15779924
08/17/2017,169.34,169.86,166.85,166.91,17216030
08/18/2017,166.84,168.67,166.21,167.41,15093638
08/21/2017,167.16,168.00,165.82,167.78,11907488
08/22/2017,168.28,169.87,167.15,169.64,11390975
08/23/2017,168.84,169.36,168.20,168.71,9856473
08/24/2017,168.88,169.29,166.41,167.74,14030420
08/25/2017,167.86,168.38,166.18,166.32,12614477
08/28/2017,166.91,167.70,166.33,167.24,8553741
08/29/2017,165.25,168.42,165.00,168.05,11120986
08/30/2017,168.17,170.18,167.63,169.92,11138293
08/31/2017,170.40,172.14,170.06,171.97,17226465
09/01/2017,172.40,172.92,171.31,172.02,11677589
09/05/2017,171.27,172.39,169.55,170.72,13221127
09/06/2017,170.91,172.48,169.57,172.09,13906342
09/07/2017,171.94,173.31,170.27,173.21,18049527
09/08/2017,173.09,173.49,170.80,170.95,10998459
09/11/2017,172.40,173.89,172.20,173.51,12372040
09/12/2017,173.76,174.00,171.75,172.96,11186328
09/13/2017,173.01,173.17,172.06,173.05,9119295
09/14/2017,172.26,172.28,170.50,170.96,15615654
09/15/2017,170.88,172.34,170.26,171.64,15660539
09/18/2017,171.99,172.07,169.34,170.01,12954013
09/19/2017,170.62,172.56,170.36,172.52,13168595
09/20/2017,172.50,173.05,170.70,172.17,12264125
09/21/2017,171.69,172.27,170.01,171.11,11161412
09/22/2017,170.21,171.73,169.22,170.54,12097138
09/25/2017,169.24,169.30,161.56,162.87,41251583
09/26/2017,164.50,165.50,162.78,164.21,23363335
09/27/2017,165.90,168.34,165.57,167.68,19048608
09/28/2017,167.94,169.07,167.16,168.73,12178747
09/29/2017,168.83,171.66,168.81,170.87,15340366
